freq,tra_infr,unit,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MWAY,KM,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220.100 	234 	234 	262.900 	: 
A,MWAY,KM,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	291 	302 	292 	302 	302 	302 	318 	330 	330 	382 	411 	429 	613 d	754 d	925 d	1016 d	1081 d	1156 d	1199 d	1244 d	1244 d	1254 	1254 	1289 	1290 	1310 	1310 	1310 	1310 	1310 	1310 	1316 	1341 
A,MWAY,KM,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	267 	269 	269 	269 	293 	335 	365 	382 	448 	448 	448 	448 	533 	542 	569 	636 	785 	858 	1273.7 	1273 	1477 	1515.5 	1515.1 	1562.300 	1577.200 	1621.400 	1628 	1636.200 	1669.400 	1723.200 	1774.300 	1859.500 	1867.600 
A,MWAY,KM,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	32 	32 	53 	72 	70 	80 	94 	103 	103 	103 	125 	125 	176 	192 	247 	: 	269 	423 	663 	900.27 	900 	900 	897 	897 	916 	916 	916 	916 	995 	995 	995 	995 
A,MWAY,KM,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 s
A,MWAY,KM,IT	3913 d	: 	: 	: 	: 	5329 d	: 	: 	: 	5900 	5900 d	5900 	5901 	5901 	5941 	5955 d	5997 	6091 	6091 	6193 	6193 	6301 	6289 	6401 	6375 	6435 	6465 	6469 	6478 	6478 	6478 	6478 	6487 	6487 	6532 	6542 	6554 	6588 	6629 	6661 	6668 	6668 	6726 	6751 	6844 	6943 	6943 	6943 	6966 	6977 	6978 	7556 	: 
A,MWAY,KM,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	370 	376 	382 	394 	394 	394 	404 	410 	417 	417 	417 	417 	417 	417 	417 	417 	309 	309 	309 	309 	309 	309 	309 	309 	309 	309 	314 	324 	324 	403 	400 	400 	400 
A,MWAY,KM,LU	7 d	: 	: 	: 	: 	23 d	: 	: 	: 	44 	44 d	44 	44 	58 	58 	58 d	58 	58 	75 	78 	78 	78 	95 	100 	121 	: 	: 	: 	115 	115 	114 	115 	126 	147 	146 	147 	147 	147 	147 	152 	152 	152 	152 	152 	152 	161 	161 	165 	165 	165 	165 	163 	163 
A,MWAY,KM,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
