freq,tra_infr,unit,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RD_EUR,KM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3223 	3223 	3223 	: 	: 	3223 	3223 
A,RD_EUR,KM,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4852 	4868 	4062 	4674 	4660 	4671 	4658 	4659 	6255 	6273 	6284 	6362 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7218 	7218 	7218 	7218 
A,RD_EUR,KM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4846 	4846 	4846 	4846 	5547 	5547 	5570 	5570 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5500 	5818 	: 	: 	: 	: 	: 
A,RD_EUR,KM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2045 	2037 	2045 	2378 d	2382 d	2405 d	2296 d	2260 d	2266 d	2280 d	2303 d	: 	: 	: 	2262 d	2258 d	2258 d	2254 d	2251 d	2250 	2244 d	2241 	2241 	2241 	2241 	2241 	2241 	2241 	2241 	2241 	2241 
A,RD_EUR,KM,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4509 	4509 	4509 	4636 	4670 	4670 	4672 	4670 	5572 	5568 	5568 	5827 	5868 	5873 	5883 	5983 	6073 	6180 	6188 	6188 	6263 	6269 	6194 	6193 	6200 	6200 	6194 	6176 	6178 	6197 	6197 
A,RD_EUR,KM,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1899 	1899 	1887 	2150 	2150 	: 	: 	2167 	: 	2099 
A,RD_EUR,KM,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4230 	4410 	4456 	4877 	4877 	4877 	4875 	4875 	4876 	4873 	4901 	4889 	4903 	5293 	5293 	5293 	5293 	5293 	6406 	6389 	6459 	6454 	6453 	6746 	6745 	6742 	6744 	6745 	6747 	6755 	6728 	6592 	6551 	6525 
A,RD_EUR,KM,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	611 	597 	597 	597 	596 	598 	601 	602 	613 	624 	626 	614 	618 	613 	618 	624 	614 	614 	515.904 	509.168 	588.291 	588.291 	587.526 	588.068 	588.068 	588.068 	588.068 	588.088 	593.780 	593.780 	593.780 	593.868 	593.868 
A,RD_EUR,KM,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1590.4 	1583 	1276.4 	1277.1 	1277.9 	1240.6 	1535.1 	1535.3 	1537.5 	1537.1 	1559.5 	1538.8 	1536.6 	1124 	1535.6 	1535.1 	1528 	1523.500 	1520.100 	1520.760 	1524.030 	1524.150 	1529.010 	1529.500 	1521.300 	1521.200 
A,RD_EUR,KM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5460 	5460 	7062 	7081 	7113 	: 	: 	: 	: 	: 	5953 	5953 	5953 	5953 	7035 	8875 	8878 	8878 	8878 	9347 	: 	: 	9361 	9353 	9353 	9353 	9353 	: 	: 	: 	9353 	: 	: 
A,RD_EUR,KM,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	15 	15 	: 	: 
A,RD_EUR,KM,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3718 	3774 d	3774 d	3796 d	3796 d	3813 d	3813 d	3749 d	3750 d	3757 d	3757 d	3757 d	3756 d	3756 d	3756 d	3756 d	3756 d	3756 	3792 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RD_EUR,KM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	250 	250 	250 	: 	250 	250 
