freq,mot_nrg,regisveh,vehicle,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PET,TERNAT_REG,CAR,MIO_VKM,NO	14923 e	14048 e	13416 e	12172 e	11499 e	10721 e	9803 e	: 	7995 	7174 
A,PET,TERNAT_REG,CAR,MIO_VKM,UA	: 	: 	: 	: 	2603 	2458 	2580 	2083 	: 	: 
A,PET,TERNAT_REG,LOR_LE3P5,MIO_VKM,AT	297 	272 	375 	381 	393 	: 	: 	: 	: 	: 
A,PET,TERNAT_REG,LOR_LE3P5,MIO_VKM,FI	: 	: 	: 	: 	: 	80 	83 	59 	59 	: 
A,PET,TERNAT_REG,LOR_LE3P5,MIO_VKM,NL	167 	163 	152 	157 	167 	167 	185 	195 	215 	246 
A,PET,TERNAT_REG,LOR_LE3P5,MIO_VKM,NO	405 e	339 e	287 e	252 e	219 e	200 e	185 e	: 	153 	139 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,DK	21718 	21850 	22139 	22659 	23022 	23321 	23671 	21778 	22203 	22167 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,FR	99423 	99558 	101314 	105154 	112357.792 	118575.440 	127826.862 	111130.702 	124324.606 	135802.768 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,IE	17657 	15526 	15867 	15091 	13972 	12225 	10968 	7487 	8094 	9049 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,LT	5192.900 	3558.200 	3377 	3113.800 	3987 	3964.400 	: 	: 	: 	: 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,LV	3609.600 	2880.500 	2892.900 	2771.800 	2842.400 	2756.700 	2813.200 	2405.800 	2054 	1911.600 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,MT	1117.860 e	1478.400 e	1603.610 e	1495.170 e	1397.920 e	1370.380 	1381.010 e	1157.800 	1293.880 	1314.850 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,NL	62528 	62591 	63176 	64534 	65838 	67058 	68435 	61479 	64096 	65978 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,NO	14774 e	13908 e	13282 e	12050 e	11384 e	10614 e	9705 e	: 	7915 	7102 
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,SI	: 	: 	6279 p	6059 	5966 	5871 p	5792 	4772 	4756 b	5156 p
A,PET,TERNAT_REGNAT,CAR,MIO_VKM,UA	: 	: 	: 	2688 	: 	: 	: 	: 	: 	: 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,DK	623 	570 	534 	517 	496 	453 	419 	380 	401 	427 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LT	3.600 	1 	1.500 	3.500 	1 	0.300 	0.200 	1.400 	0 	0.700 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LV	57.100 	35.400 	35.400 	34.700 	29.900 	27.300 	24.500 	26.600 	19.400 	20.100 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,MT	6.400 e	10.300 e	13.180 e	7.100 e	4.360 e	5.540 e	5.530 e	4.400 	6.020 	9.400 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NL	161 	156 	146 	150 	160 	161 	177 	187 	207 	236 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NO	401 e	336 e	284 e	249 e	217 e	198 e	183 e	: 	151 	138 
A,PET,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	45 p	41 	38 	36 p	39 	35 	39 b	40 p
A,PET,TER_REGNAT,CAR,MIO_VKM,BE	83089 	82928 	84225 	20894 	84095 	: 	: 	: 	: 	: 
A,PET,TER_REGNAT,CAR,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	67594.710 e
A,PET,TER_REGNAT,CAR,MIO_VKM,DE	325767 e	611940 e	315940 e	625915 e	630837 e	630843 e	632254 e	626423 e	308773 e	598052 e
A,PET,TER_REGNAT,CAR,MIO_VKM,EE	: 	8211.900 e	8476 e	8670.200 e	8876.100 	8924.100 e	9397.200 e	9263.300 	9393.400 	9705.400 
A,PET,TER_REGNAT,CAR,MIO_VKM,FI	: 	: 	: 	: 	: 	40718 	40718 	39092 	38771 	38385 
A,PET,TER_REGNAT,CAR,MIO_VKM,FR	460214.673 	465472.353 	472077.332 	479454.804 	477750.530 	475549.630 	476599.280 	388244.460 	420952.220 	462518.530 
A,PET,TER_REGNAT,CAR,MIO_VKM,HR	: 	18262 	19444 	20809 	21473 	22322 	21463 	20740 	21875 	: 
A,PET,TER_REGNAT,CAR,MIO_VKM,IE	32904 	32324 	35874 	37488 	38039 	36817 	36300 	26654 	30677 	35583 
A,PET,TER_REGNAT,CAR,MIO_VKM,IS	: 	: 	: 	: 	1530 	1566 	1380 e	1599 	: 	: 
A,PET,TER_REGNAT,CAR,MIO_VKM,LT	17772.200 	13071.700 	13196.800 	14049.200 	16822.800 	17487 	: 	: 	: 	: 
A,PET,TER_REGNAT,CAR,MIO_VKM,LV	8381.700 	9018.400 	9673.300 	9925.100 	10699.200 	10897.600 	11072 	10553.500 	9596.800 	9067.200 
A,PET,TER_REGNAT,CAR,MIO_VKM,MK	3121.182 	3343.041 	3454.497 	3554.406 	3629.844 	3735.558 	3834.405 	3862.764 	4300.380 	4351.338 
A,PET,TER_REGNAT,CAR,MIO_VKM,MT	1890.570 e	2646.780 e	2132.010 e	1571.650 e	2744.390 e	2622.310 e	2408.390 e	1878.600 	2290.310 	2321.010 
A,PET,TER_REGNAT,CAR,MIO_VKM,NL	113821 	114511 	115913 	118725 	120026 	120339 	121232 	100600 	104473 	105425 
A,PET,TER_REGNAT,CAR,MIO_VKM,NO	33931 e	33841 e	34324 e	34848 e	35301 e	35989 e	35504 e	: 	12147 	35310 
A,PET,TER_REGNAT,CAR,MIO_VKM,SE	37077 	63813 	65312 	67176 	32662 	68664 	67142 	62823.778 	63850.109 	64851.448 
A,PET,TER_REGNAT,CAR,MIO_VKM,SI	: 	: 	16356 p	6144 	16593 	16976 p	17263 	14202 	15245 	16606 p
A,PET,TER_REGNAT,CAR,MIO_VKM,TR	: 	: 	: 	: 	: 	170801 	166605 	163402.342 	178831.869 	: 
A,PET,TER_REGNAT,CAR,MIO_VKM,UK	: 	392471 	: 	397711 	: 	: 	447077 	336726 	: 	: 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,BE	153 	165 	184 	215 	244 	: 	: 	: 	: 	: 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	657.374 e
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,DE	1543 e	1565 e	1418 e	1391 e	1338 e	1345 e	1410 e	1516 e	1589 e	1542 e
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,FR	999.352 	936.181 	879.753 	834.513 	752.913 	751.867 	751.864 	672.872 	742.599 	809.159 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,IS	: 	: 	: 	: 	35 	28 	26 	29 	: 	: 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,LT	3.600 	1.100 	0 	3.500 	1 	0.300 	0.300 	1.500 	0 	0.700 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,LV	57.100 	35.400 	35.400 	34.600 	29.900 	27.300 	24.500 	26.600 	19.400 	20.100 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,MT	6.230 e	9.260 e	7.010 	6.980 e	5.330 e	5.790 e	5.530 e	4.400 	6.020 	9.397 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,NL	167 	163 	152 	157 	167 	168 	185 	195 	215 	216 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,NO	405 e	339 e	287 e	252 e	219 e	200 e	185 e	: 	153 	139 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,SE	645 	575 	515 	468 	423 	388 	363 	353.970 	349.814 	325.932 
A,PET,TER_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	70 p	53 	51 	50 p	49 	45 	44 	46 p
A,PET,TER_REGNAT,MOTO,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	2220.314 e
A,PET,TER_REGNAT,MOTO,MIO_VKM,DE	9412 e	9495 e	9612 e	9658 e	9741 e	9741 e	9887 e	9926 e	10143 e	10112 e
A,PET,TER_REGNAT,MOTO,MIO_VKM,EE	: 	37.900 e	44 e	48.100 e	54.100 	56 e	46.600 e	51.400 	57.800 	55 
A,PET,TER_REGNAT,MOTO,MIO_VKM,FI	: 	: 	: 	: 	: 	1161 	1161 	1161 	1161 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,FR	: 	: 	: 	11210 	11273.265 	11340.238 	11340.238 	9582.501 	9822.063 	11069.466 
A,PET,TER_REGNAT,MOTO,MIO_VKM,HR	: 	173 	184 	201 	217 	241 	261 	245 	369 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,IE	103 	103 	102 	104 	108 	109 	114 	101 	111 	114 
A,PET,TER_REGNAT,MOTO,MIO_VKM,LT	277.500 	113.100 	143.200 	158 	204.800 	214.800 	: 	: 	: 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,LV	55.100 	51.800 	50 	50.400 	53.400 	107.200 	57.500 	66.500 	63.900 	93.400 
A,PET,TER_REGNAT,MOTO,MIO_VKM,MT	3.790 e	: z	87.990 e	92.330 e	93.410 e	90.110 e	119.650 e	: 	: 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,NL	2541 	2489 	2445 	2456 	2475 	: 	: 	: 	: 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,NO	804 e	831 e	888 e	908 e	942 e	964 e	983 e	: 	: 	: 
A,PET,TER_REGNAT,MOTO,MIO_VKM,SE	686 	658 	693 	: 	668 	646 	656 	700.154 	653.162 	659.215 
A,PET,TER_REGNAT,MOTO,MIO_VKM,SI	: 	: 	177 p	162 	166 	167 p	172 	162 	206 	200 p
A,PET,TER_REGNAT,MOTO,MIO_VKM,TR	: 	: 	: 	: 	: 	12717 	12839 	12934.404 	14406.104 	: 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,CH	2309 	2381 	2453 	2488 	2526 	2555 	2584 	2841 	2647 	2919 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,EE	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,ES	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,HU	732.080 e	677 e	715.180 e	729.660 e	788.690 e	818.200 e	862.490 e	788.200 	811.640 e	856.170 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,IS	: 	: 	: 	: 	1820 e	1891 e	1969 e	1882 	: 	: 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,NO	943 e	1114 e	1128 e	1138 e	1145 e	1155 e	1580 e	: 	1605.782 	1629 
A,TOTAL,TERNAT_REG,BIKE,MIO_VKM,UK	5036 	5225 	5227 	5227 	: 	: 	5556 	8092 	6757 	6273 
A,TOTAL,TERNAT_REG,BUS_MCO_MIN,MIO_VKM,BE	134 e	156 	159 	135 	175 b	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_MIN,MIO_VKM,NO	153 e	144 e	136 e	127 e	125 e	126 e	118 e	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_MIN,MIO_VKM,RO	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_MIN,MIO_VKM,SI	: 	: 	10 p	10 	8 	8 p	8 	4 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,AT	507 	520 	527 	544 	558 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,BE	633 b	646 	659 	614 	615 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,BG	449 	439.900 	455.800 	485.800 	446.700 	524.100 	427.600 	320.200 	337.100 	326.800 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,CH	415 	421 	431 	441 	445 e	458 	469 	452 	480 	495 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,EE	145 e	161 e	175 e	206.400 e	237.800 e	235.100 e	221.500 e	216.300 	231.400 	239.800 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,ES	2250 	1715 	2023 	2028 	1292 	1334 	1369 	902.672 	1157 	1328 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,FI	580 	580 	580 	635 	630 	614 	601 	523 	461 	522 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,FR	3187 	3234 	3259 	3308 	3173.003 	3213.492 	3276.117 	2349.302 	2790.965 	3067.266 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,HR	300 	290 	300 	305 	320 	320 	330 	210 	240 	270 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,HU	660.320 e	683 e	668.790 e	688.710 e	718.540 e	730.730 e	734.530 e	632.930 	664.790 e	685.480 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,IE	299 	375 	313 	329 	361 	386 	392 	271 	260 	329 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,IT	: 	: 	: 	: 	19163 	19584 	19965 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,NL	642 	624 	625 	611 	655 	632 	615 	508 	488 	508 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,NO	583 e	572 e	564 e	568 e	573 e	580 e	583 e	: 	501 	541 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,PL	2011 e	1914 e	1851 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,RO	2271 	2538 	2861 	2994 	3138 	3295 	3467 	3655 	3863 	4092 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,SE	970 b	969 	983 	985 	998 	1000 	1006 	899 	888 	936 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,SI	: 	: 	131 p	133 	136 	138 p	141 	68 	89 b	102 p
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,UA	: 	: 	: 	: 	2017 	2084 	2117 	1468 	: 	: 
A,TOTAL,TERNAT_REG,BUS_MCO_TRO,MIO_VKM,UK	4508 	4507 	4304 	4304 	: 	: 	3886 	2641 	2907 	3325 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,AT	86 	87 	87 	90 	92 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,BE	360 	358 	360 	359 	329 b	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,BG	: 	423.700 	440.600 	471.100 	432 	510 	413.500 	306.500 	322.600 	314.700 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,CH	262 	267 	272 	281 	281 e	291 	300 	294 	311 	321 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,EE	145 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,NL	503 	485 	481 	464 	496 	471 	466 	447 	426 	404 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,NO	342 e	332 e	327 e	339 e	343 e	353 e	363 e	: 	439 	454 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,RO	2271 	2538 	2861 	2994 	3138 	3295 	3467 	3655 	3863 	4092 
A,TOTAL,TERNAT_REG,BUS_TOT,MIO_VKM,SI	: 	: 	18 p	18 	18 	18 p	18 	13 	17 b	18 p
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,BE	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,BG	: 	16.200 	15.200 	14.800 	14.700 	14.100 	14.100 	13.700 	14.500 	12.100 
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,CH	28 	27 	27 	27 	28 e	28 	27 	27 	29 	30 
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,CY	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,HR	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z
A,TOTAL,TERNAT_REG,BUS_TRO,MIO_VKM,SI	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,AT	64542 	66229 	67951 	69921 	71250 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,BE	77157 b	77975 	78670 	79385 	80076 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,CH	54695 	55641 	56620 	57737 	58735 	59344 	59833 	48400 	51385 	54837 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,EE	7764 e	8211.900 e	8476 e	8670.200 e	8876.100 e	8924.100 e	9397.200 e	9263.300 	9393.400 	9705.400 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,ES	195624 	197373 	204203 	196467 	198262 	202954 	203817 	158246.697 	189940 	204527.050 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,FI	46510 	46800 	47355 	40719 b	40614 	40718 	40718 	39092 	38771 	38385 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,HR	18000 	18295 	18850 	19360 	19905 	20310 	20840 	16810 	19780 	20880 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,HU	24240.910 e	25435 e	26707.200 e	28333.490 e	30245.270 e	31577.990 e	32935.960 e	28903.220 	32284.470 e	34718.250 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,IE	32094 	32324 	35874 	37488 	38039 	36817 	36300 	26654 	30677 	35583 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,IT	: 	: 	: 	: 	64656 	64544 	64689 	43920 	55323 	62841 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,MK	3121.182 	3343.041 	3454.497 	3554.406 	3629.844 	3735.558 	3834.405 	3862.764 	4300.380 	4351.338 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,NL	103211 	103699 	105089 	107708 	108936 	109337 	109087 	92654 	95940 	102465 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,NO	33931 e	33841 e	34324 e	34848 e	35407 e	35989 e	35504 e	: 	35098 	35310 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,PL	169719 e	175476 e	180158 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,RO	35763 	37727 	39798 	40948 	42133 	43354 	44613 	45911 	47249 	48628 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,SE	63283 b	64531 	65854 	67355 	68305 	68483 	67776 	62162 	63913 	65364 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,SI	: 	: 	17986 p	17679 	18328 	18749 p	19087 	14614 	15424 b	16801 p
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,UA	: 	: 	: 	: 	3813 	3805 	4174 	3703 	: 	: 
A,TOTAL,TERNAT_REG,CAR,MIO_VKM,UK	386192 	393376 	398626 	398626 	: 	: 	447769 	337240 	356243 	392670 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,AT	11442 	11739 	12043 	12350 	12803 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,BE	13611 b	14117 	14481 	14528 	14541 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,BG	: 	595.600 	598.100 	556.300 	510.500 	: 	: 	422.800 	460 	387.600 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,EE	1203 e	1060.800 e	1281 e	1462.600 e	1643.300 e	1981.900 e	1993.700 e	1720.300 	1885.600 	1695.900 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,ES	: 	20589 	23397 	23142 	24458 	24733 	25122 	22409.681 	25517 	25876 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,FI	7080 	7200 	7210 	9007 b	8982 	9104 	9068 	8411 	8542 	8249 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,HU	9655.470 e	7748 e	8032.650 e	8193.150 e	8594.360 e	8868.070 e	9067.280 e	8027.007 	9044.560 e	9348.480 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,IE	6320 	6999 	7021 	7410 	7785 	7891 	8023 	7283 	8812 	9356 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,MK	625 	855 	860 	904 	902 	959 	835 	837 	895.964 	1051.425 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,NL	18518 	18439 	18719 	19368 	19919 	20087 	20537 	20180 	20864 	21176 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,NO	9400 e	9325 e	8595 e	8566 e	8650 e	8750 e	8780 e	: 	8795 	8835 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,PL	23803 e	35505 e	35559 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,RO	8579 	8652 	8728 	8963 	9205 	9454 	9709 	9972 	10242 	10520 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,SE	12809 	13021 	13214 	13653 	13923 	14281 	14290 	14058 	14685 	14858 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,SI	: 	: 	2314 p	2575 	2650 	2765 p	3012 	2730 	3311 b	3401 p
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,UA	: 	: 	: 	: 	6031 	6418 	6538 	6934 	: 	: 
A,TOTAL,TERNAT_REG,LOR,MIO_VKM,UK	80479 	84489 	88073 	88073 	: 	: 	101751 	92534 	99356 	104294 
A,TOTAL,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,EE	1203 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,FI	: 	: 	: 	: 	: 	563 	: 	468 	474 	454 
A,TOTAL,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,HU	720.490 e	691 e	710.050 e	718.530 e	740.930 e	748.510 e	754.880 e	674.430 	732.920 e	720.420 
A,TOTAL,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,NO	209 e	176 e	153 e	111 e	89 e	73 e	65 e	: 	54 	52 
A,TOTAL,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,RO	7521 	7535 	7550 	7751 	7958 	8171 	8389 	8613 	8843 	9081 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,AT	4631 	4751 	4873 	4972 	5271 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,BG	682.400 	595.600 	598.100 	556.300 	510.500 	456.500 	345.300 	422.800 	460 	387.600 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,ES	: 	: 	: 	9601 	8476 	8676 	8788 	12959.552 	8467 	9371 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,FI	: 	: 	: 	: 	: 	2314 	: 	2276 	2291 	2197 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,HU	3576.970 e	1259 e	1254.660 e	1274.090 e	1344.610 e	1370.800 e	1366.110 e	1175.297 	1344.340 e	1323 
A,TOTAL,TERNAT_REG,LOR_GT6,MIO_VKM,NO	2052 e	1455 e	1433 e	1415 e	1431 e	1443 e	1462 e	: 	1411 	1436 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,AT	6811 	6988 	7170 	7378 	7532 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,BE	10193 b	10670 	11044 	11559 	12091 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,ES	13799 	13762 	15117 	13541 	15982 	16057 	16334 	9450.129 	17050 	16505.210 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,FI	3890 	3905 	3925 	5514 b	5611 	5693 	5726 	5667 	5777 	5598 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,HU	5358.010 e	5798 e	6067.940 e	6200.530 e	6508.820 e	6748.760 e	6946.290 e	6177.280 	6967.300 e	7305.060 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,NL	16309 	16296 	16544 	17144 	17668 	17961 	18434 	18108 	18832 	19142 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,NO	7139 e	7077 e	7009 e	7040 e	7130 e	7234 e	7253 e	: 	7330 	7347 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,PL	16134 e	15591 e	15098 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,RO	1058 	1117 	1178 	1212 	1247 	1283 	1320 	1359 	1399 	1439 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,SE	8174 	8397 	8573 	8830 	9096 	9360 	9415 	9332 	9697 	9753 
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,SI	: 	: 	1185 p	1402 	1424 	1495 p	1719 	1524 	1954 b	2022 p
A,TOTAL,TERNAT_REG,LOR_LE3P5,MIO_VKM,UK	68530 	72326 	75488 	75488 	: 	: 	89367 	81222 	87510 	92560 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,AT	421 	433 	441 	454 	466 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,BE	140 e	132 	141 	120 	111 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,CH	125 	128 	131 	134 	136 	139 	142 	131 	139 	144 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,NL	139 	139 	144 	147 	159 	161 	149 	61 	62 	104 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,NO	88 e	96 e	101 e	102 e	105 e	101 e	102 e	: 	62 	87 
A,TOTAL,TERNAT_REG,MCO,MIO_VKM,SI	: 	: 	104 p	105 	110 	112 p	115 	51 	72 b	84 p
A,TOTAL,TERNAT_REG,MOP,MIO_VKM,AT	310 	303 	741 	731 	728 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MOP,MIO_VKM,CH	134 	138 	143 	155 	165 	176 	184 	198 	210 	222 
A,TOTAL,TERNAT_REG,MOP,MIO_VKM,NL	2322 	2350 	2386 	2445 	2537 	2561 	2591 	2398 	: 	2592 
A,TOTAL,TERNAT_REG,MOP,MIO_VKM,NO	567 e	571 e	575 e	576 e	566 e	542 e	521 e	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,AT	1307 	1359 	1410 	1467 	1515 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,BE	1216 	1230 	1214 	1209 	1222 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,CH	1770 	1782 	1794 	1820 	1842 	1868 	1881 	1719 	1763 	1759 
