freq,mot_nrg,regisveh,vehicle,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DIE,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NL	15242 	15230 	15473 	15985 	16442 	16735 	17117 	16786 	17418 	17602 
A,DIE,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NO	6660 e	6654 e	6640 e	6696 e	6807 e	6911 e	6928 e	: 	6966 	6911 
A,DIE,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	1010 p	1222 	1240 	1304 p	1518 	1351 	1664 b	1721 p
A,DIE,TER_REGNAT,CAR,MIO_VKM,BE	65086 	64408 	64513 	63000 	60818 	: 	: 	: 	: 	: 
A,DIE,TER_REGNAT,CAR,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	35117.102 e
A,DIE,TER_REGNAT,CAR,MIO_VKM,DE	274368 e	282462 e	292275 e	301030 e	303234 e	297628 e	292095 e	284111 e	268216 e	251848 e
A,DIE,TER_REGNAT,CAR,MIO_VKM,FI	: 	: 	: 	: 	: 	16809 	16794 	15547 	15490 	: 
A,DIE,TER_REGNAT,CAR,MIO_VKM,FR	349778.057 	355183.401 	359522.237 	362070.247 	356702.071 	346711.793 	336890.516 	264938.878 	276703.585 	294878.292 
A,DIE,TER_REGNAT,CAR,MIO_VKM,HR	: 	9362 	10702 	12166 	13090 	14118 	13915 	13578 	14341 	: 
A,DIE,TER_REGNAT,CAR,MIO_VKM,IE	14972 	26298 	19688 	22021 	23600 	23982 	24470 	18317 	21183 	24207 
A,DIE,TER_REGNAT,CAR,MIO_VKM,IS	: 	: 	: 	: 	496 	542 	553 	683 	: 	: 
A,DIE,TER_REGNAT,CAR,MIO_VKM,LT	9920.400 	7954.300 	8100.500 	9704.700 	11204 	12058.600 	: 	: 	: 	: 
A,DIE,TER_REGNAT,CAR,MIO_VKM,LV	4152.600 	5283.300 	5884 	6312.200 	7029.140 	7375.500 	7545.100 	7508.200 	6867.300 	6655.400 
A,DIE,TER_REGNAT,CAR,MIO_VKM,MT	773.440 e	1068.270 e	779.850 e	1096.500 e	1152.070 e	1094.100 e	991.710 e	689.200 	922.490 	926.200 
A,DIE,TER_REGNAT,CAR,MIO_VKM,NL	35491 	35156 	35400 	35790 	35191 	33958 	31584 	22636 	20307 	20438 
A,DIE,TER_REGNAT,CAR,MIO_VKM,NO	18889 e	19478 e	20097 e	20478 e	20413 e	20263 e	19326 e	: 	16972 	15582 
A,DIE,TER_REGNAT,CAR,MIO_VKM,SE	21041 	23687 	26476 	29238 	31351 	32804 	32198 	29788.526 	29122.257 	28362.984 
A,DIE,TER_REGNAT,CAR,MIO_VKM,SI	: 	: 	9831 p	9654 	10317 	10765 p	11107 	9098 	9843 	10604 p
A,DIE,TER_REGNAT,CAR,MIO_VKM,TR	: 	: 	: 	: 	: 	81604 	80710 	80576.548 	89362.438 	: 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	1214.477 e
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,FR	64.961 	64.878 	65.072 	61.682 	64.194 	62.069 	58.208 	50.381 	55.509 	53.479 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,LT	37 	15.400 	23.500 	24.500 	20.900 	15.500 	19.900 	36.500 	23.500 	39.200 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,LV	88.700 	83.900 	76.400 	20.500 	23.200 	21 	19.800 	22.300 	14.600 	12.900 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,MT	63.800 e	66.290 e	40.980 	71.350 e	65.660 e	61.180 e	59.380 e	57.100 	60 	60.927 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,NO	162 e	142 e	125 e	96 e	79 e	65 e	59 e	: 	50 	49 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,PT	20 	16 	14.820 	8.700 	7.970 	16.410 	17.080 	: 	: 	: 
A,DIE,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,SE	73 	70 	70 	67 	61 	60 	57 	57.088 	57.872 	58.373 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	6046.935 e
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,FR	8659.888 	8486.362 	8358.852 	8410.319 	8385.385 	8370.183 	8400.366 	7591.181 	8106.039 	8101.262 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,LT	583.500 	627.200 	541 	600.600 	726.500 	776.900 	898.300 	898 	912.300 	745.900 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,LV	1401.800 	434 	404.800 	422.800 	440.200 	457.600 	449.500 	472.800 	407.300 	376.600 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,MT	52.370 e	57.350 e	24.720 	68.430 e	65.230 e	62.270 e	57.140 e	53.100 	53.360 	50.326 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,NO	2046 e	2066 e	2060 e	1408 e	1433 e	1433 e	1451 e	: 	1396 	1413 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,PT	736 	710 	737.320 	628.390 	591.620 	550.470 	540.500 	: 	: 	: 
A,DIE,TER_REGNAT,LOR_GT6,MIO_VKM,SE	3922 	3912 	3924 	3969 	4060 	4103 	4067 	3284.738 	3399.227 	3434.167 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,BE	10466 	10799 	11105 	11573 	11971 	: 	: 	: 	: 	: 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	8735.865 e
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,DE	36848 e	39120 e	41475 e	43641 e	45854 e	47912 e	49609 e	51195 e	52709 e	54413 e
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,FR	60956.334 	61656.267 	62316.469 	63526.056 	64169.318 	65706.411 	66939.933 	60545.765 	66719.255 	67501.978 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,IS	: 	: 	: 	: 	149 	127 	126 	160 	: 	: 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,LT	370.100 	353.800 	290.300 	335.700 	297.700 	297.900 	271.500 	220.300 	226.900 	177.400 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,LV	971.100 	1100.300 	1157.900 	1186.500 	1227.900 	1235.700 	1294 	1341.900 	1160.600 	1150.600 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,MT	303.810 e	364.810 e	300.490 	420.500 e	425.870 e	403.710 e	367.340 e	324.200 	358.590 	348.432 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,NL	15877 	15864 	16117 	16703 	17181 	17451 	17867 	17503 	18144 	17963 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,NO	6727 e	6721 e	6707 e	6764 e	6890 e	6981 e	6998 e	: 	7035 	6981 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,SE	7348 	7610 	7866 	8213 	8517 	8877 	8829 	8917.795 	9139.415 	9114.576 
A,DIE,TER_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	1573 p	1571 	1691 	1801 p	1877 	1753 	1918 	1984 p
A,OTH,TERNAT_REG,CAR,MIO_VKM,AT	26 	44 	54 	94 	155 	: 	: 	: 	: 	: 
A,OTH,TERNAT_REG,CAR,MIO_VKM,FI	: 	: 	: 	: 	202 	388 	662 	1198 	1819 	: 
A,OTH,TERNAT_REG,CAR,MIO_VKM,IE	276 	278 	321 	377 	467 	610 	862 	850 	1400 	2326 
A,OTH,TERNAT_REG,CAR,MIO_VKM,NL	5498 	6128 	6582 	7356 	7711 	7839 	8533 	8022 	11036 	15680 
A,OTH,TERNAT_REG,CAR,MIO_VKM,NO	119 e	315 e	811 e	2251 e	3464 e	5131 e	6526 e	: 	10359 	12811 
A,OTH,TERNAT_REG,CAR,MIO_VKM,UA	: 	: 	: 	: 	410 	423 	456 	442 	: 	: 
A,OTH,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,EE	90 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
