freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,INF,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16654 	20016 	18207 	27788 	32429 	39351 	29972 	4894.818 	4835.695 	5514.448 	5070.132 	5668.546 	: 	: 	: 	: 	: 
A,MIO_EUR,INF,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	858699 d	732650 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF,RO	461 	1529 	3694 	544269 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2870.225 	2367.005 	2133.580 	2181.564 	3080.164 	3920.840 	3927.217 p	: 
A,MIO_EUR,INF,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17235 d	15409 d	15395 d	16312 d	18082 d	19789 	24248 b	25170 	27608 	3056.349 	2881.794 	3045.384 	3215.791 	3456.114 	3585.877 	: 	3970.414 	4140.245 	4102.412 
A,MIO_EUR,INF,SI	: 	: 	: 	39589 	65657 	67016 	65950 	85194 	91518 	80072 	101379 	130100 	126736 	123139 	675 d	854 d	9168 d	74263 d	584396 d	422099 	3385 	: 	370.970 	399.440 	373.350 	413.200 	579.570 	: 	598.300 	: 	: 
A,MIO_EUR,INF,SK	: 	: 	: 	4113 	4832 	14124 	13828 	11373 	12518 	116563 	13153 	117112 	121941 	177638 	: 	: 	227483 	: 	5168 	5915 	5037 	564.100 	731.300 	1334.800 	966.400 	979.100 	1064.500 	915.100 	983.800 	1472.900 	837.500 
A,MIO_EUR,INF,TR	: 	: 	: 	10 	32 	97 	136 	205 	291 	456 	573 	781 	1252 	1693 	3842 	3976 	4847 	7200 	11539 	13686 	12489 	6854.549 	7203.165 	9284.746 	7558.400 	6369.218 	: 	: 	: 	: 	: 
A,MIO_EUR,INF,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8428 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	207.630 	235.206 	190.242 	: 	: 	: 
A,MIO_EUR,INF_INV,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.208 	192.693 	179.200 	89.125 	159.067 	169.211 	175.840 	193.291 	276.939 	201.981 
