freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,VEH,FR	15010 d	11945 	12699 	14143 	12586 	11698 	2200 d	2306 d	2332 d	2517 	3298 p	2517 	2702 	2745 	2799 	2953 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,HR	: 	: 	: 	155 	217 	177 	220 	195 	110 	136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,IS	: 	: 	: 	: 	: 	13041 	629 	11981 	13035 	9842 	4845 	8504 	: 	13053 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13907 	: 	: 	: 	: 
A,MIO_EUR,VEH,LT	: 	: 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	848 	12577 	16603 	11946 	: 	528 	1119 	1806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,MK	: 	: 	: 	168 	125 	12 	: 	: 	: 	219 	237 	: 	: 	335 	339 	880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,NO	: 	: 	: 	: 	: 	: 	3279 	1651 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544.404 	510.390 	475.775 	463.587 	478.396 	475.436 	: 	: 	: 	: 
A,MIO_EUR,VEH,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1156 	1695 	1533 	799 	1072 	1629 	1587 	407.624 	476.304 	621.639 	653.649 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,PT	: 	11259 	27741 	21867 	30169 d	34708 d	59877 d	41604 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH,RO	0 	0 	0 	310365 	132709 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	393082 	374878 	363 	: 	223 	290 	271 	254 	235 	533 	: 	264 e	: 	326 e	327 e	: 	: 	: 
A,MIO_EUR,VEH_INV,BG	1120170 	941187 	687421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	361.080 	379.078 	: 	: 	352.388 	: 	: 	: 
A,MIO_EUR,VEH_INV,CY	: 	: 	: 	: 	: 	: 	73 	61 	4 	64 	5 	62 	64 	59 	57 	129 	18 	164 	117 	52 	14 	2.400 	2.800 	2 	4 	5 	7.200 	6.900 	7.300 	: 	: 
A,MIO_EUR,VEH_INV,EE	: 	: 	: 	: 	: 	: 	: 	: 	359 	464 	454 	: 	353 d	329 d	551 d	520 d	424 d	205 e	5556 p	119 	116 d	113 	121 	107 	114 	129 e	108 	110 	78 	98 	100 
A,MIO_EUR,VEH_INV,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1190 d	1307 d	2068 d	2282 d	2482 d	2866 d	1621 d	1578 d	1651 d	: 	1405.940 	1709 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,FI	: 	: 	: 	1329 d	: 	1511 d	17325 d	2921 d	2692 d	2542 d	2889 d	3408 d	3571 	3687 	303 	3154 	424 	2811 	2404 	3046 	2907 	154.330 	333.350 	332.235 	368.550 	382.290 	385.600 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,FR	9049 d	6604 	6952 	7990 	6777 	7306 	1094 d	1134 d	1162 d	1210 	1471 p	1274 	1337 	1458 	1392 	1410 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,HR	: 	: 	: 	75 	94 	71 	95 	74 	51 	84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,HU	: 	: 	: 	16304 	16204 	19278 	28648 	29921 	28115 	60836 	68961 	64706 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,IS	: 	: 	: 	: 	: 	10543 	372 	9746 	9909 	7918 	1392 	5671 	7633 	9783 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6555 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,LT	: 	: 	55 	: 	: 	: 	: 	: 	: 	717 	444 	767 d	887 d	5351 	73465 	14886 	839 	2282 	3455 	732 	6078 	792.100 	157.600 	231.500 	343.500 	337.300 	403.500 	372.500 	194.800 	442.400 	608 
A,MIO_EUR,VEH_INV,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1799 	1494 	: 	848 	12577 	16603 	11946 	338 	528 	1119 	1806 	145.770 	126.570 	179.200 	192.600 	187.800 	189.020 	153.300 	110.600 	172.700 	: 
A,MIO_EUR,VEH_INV,MK	: 	: 	: 	168 	125 	12 	: 	: 	: 	196 	170 	: 	: 	301 	326 	846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13598 
A,MIO_EUR,VEH_INV,NO	: 	: 	: 	: 	: 	: 	3115 	1624 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	182.279 	172.245 	141.571 	133.468 	138.951 	135.973 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,PL	1285148 	175946 	: 	142 	1558 	2314 	2674 	2474 	4412 	4232 	4296 	4461 d	785 	733 	1156 	1695 	1533 	799 	1072 	1629 	1587 	407.624 	476.304 	621.639 	653.649 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,RO	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,SE	2849 d	2590 d	2848 d	5261 d	5869 d	8020 d	9587 d	: 	: 	: 	: 	: 	: 	707 	354 	628 	142 	19 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,SI	: 	: 	: 	: 	1844 	1305 	2982 	3165 	2707 	35649 	4148 	5709 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_INV,UK	: 	23474 	26070 	32500 	35400 	41200 	41600 	41300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	281076 d	300296 d	346 	: 	307 	298 	300 	296 	302 	625 	: 	281 e	: 	284 e	315 e	: 	: 	: 
A,MIO_EUR,VEH_MNT,CY	: 	: 	: 	: 	: 	: 	31 	53 	54 	6 	63 	66 	69 	7 	109 	125 	195 	193 	195 	174 	126 	10.100 	13 	12.100 	13.700 	15.200 	16.600 	23.100 	21.700 	: 	: 
A,MIO_EUR,VEH_MNT,FI	: 	: 	: 	932 	: 	11551 	13179 	2515 d	260 d	2891 d	293 d	3173 d	3293 	3666 	3939 	4379 	4811 	4083 	3965 	4512 	4737 	468.300 	498.160 	491.318 	489.930 	518.950 	558.240 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,FR	5961 d	5341 	5747 	6153 	5809 	4392 	1106 d	1172 d	1171 d	1307 	1827 p	1243 	1365 	1287 	1407 	1543 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,HR	: 	: 	: 	80 	123 	106 	125 	121 	59 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,IS	: 	: 	: 	: 	: 	2498 	2571 	2235 	3126 	1924 	3453 	2833 	: 	327 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7352 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,LT	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,MK	: 	: 	: 	0 	0 	0 	: 	: 	: 	23 	67 	: 	: 	34 	13 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,NO	: 	: 	: 	: 	: 	: 	164 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	362.125 	338.145 	334.205 	330.119 	339.552 	339.463 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,RO	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,VEH_MNT,SE	3130 d	3177 d	2195 	2387 	2573 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
